index,feature_name,description,feature_type,data_range,non_zero_count,coverage_pct,eliminated,corr_filter,variance_threshold,importance_order,importance,importance_10,corr_residential,corr_commercial,corr_office,score,select,a1,a2,a3,a4
75,feat_census_n_transporte_camina,"Area-weighted spatial interpolation of census variable ""number of people employed outside their home whose primary means of transportation is: walking"" to the H3 cells",census,0.00 to 71.07,12584,92.00848139,0,1,1,17,0.013016,0,1,0,0,3,1,1,1,1,1
76,feat_census_n_transporte_bicicleta,"Area-weighted spatial interpolation of census variable ""number of people employed outside their home whose primary means of transportation is: bicycle"" to the H3 cells",census,0.00 to 17.25,11502,84.09738978,0,1,1,24,0.01121,0,1,0,0,3,1,1,1,1,1
77,feat_census_n_hog,"Area-weighted spatial interpolation of census variable ""homes"" to the H3 cells",census,0.00 to 238.61,13506,98.74972582,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
78,feat_census_n_hog_unipersonales,"Area-weighted spatial interpolation of census variable ""single-person households"" to the H3 cells",census,0.00 to 126.83,13427,98.17,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
79,feat_census_n_vp,"Area-weighted spatial interpolation of census variable ""number of private homes"" to the H3 cells",census,0.00 to 381.56,13519,98.8447759,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
80,feat_census_n_tipo_viv_casa,"Area-weighted spatial interpolation of census variable ""number of homes with housing type: house"" to the H3 cells",census,0.00 to 131.92,13518,98.83746436,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
81,feat_census_n_tipo_viv_depto,"Area-weighted spatial interpolation of census variable Homes with housing type: apartment"" to the H3 cells",census,0.00 to 375.77,5202,38.03465672,0,1,1,20,0.012214,0,1,0,0,3,1,1,1,1,1
82,feat_census_n_dormitorios_1,"Area-weighted spatial interpolation of census variable ""number of 1-bedroom homes"" to the H3 cells",census,0.00 to 133.67,13372,97.7699788,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
83,feat_census_n_dormitorios_2,"Area-weighted spatial interpolation of census variable ""number of 2-bedroom homes"" to the H3 cells",census,0.00 to 93.65,13461,98.4207063,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
84,feat_census_n_dormitorios_3,"Area-weighted spatial interpolation of census variable ""number of 3-bedroom homes"" to the H3 cells",census,0.00 to 49.84,13440,98.26716385,0,0,0,,0,0,1,0,0,1,0,1,0,1,0
85,feat_census_n_dormitorios_4,"Area-weighted spatial interpolation of census variable ""number of 4-bedroom homes"" to the H3 cells",census,0.00 to 14.32,12808,93.64626746,0,1,1,7,0.031657,1,1,0,0,4,1,1,1,1,1
86,feat_census_n_dormitorios_5,"Area-weighted spatial interpolation of census variable ""number of 5-bedroom homes"" to the H3 cells",census,0.00 to 5.28,10152,74.22680412,0,1,1,21,0.011835,0,1,0,0,3,1,1,1,1,1
87,feat_census_n_dormitorios_6_o_mas,"Area-weighted spatial interpolation of census variable ""number of 6-or-more-bedroom homes"" to the H3 cells",census,0.00 to 4.14,5613,41.03970169,0,1,1,25,0.011181,0,0,0,0,2,1,1,1,1,1
88,feat_census_n_viv_hacinadas,"Area-weighted spatial interpolation of census variable ""number of overcrowded housing"" to the H3 cells",census,0.00 to 12.32,12241,89.5,0,1,1,14,0.014877,0,1,0,0,3,1,1,1,1,1
89,feat_census_prom_per_hog,"Area-weighted spatial interpolation of census variable ""average number of persons per household"" to the H3 cells",census,0.00 to 4.95,13506,98.74972582,0,1,1,22,0.011478,0,0,0,0,2,1,1,1,1,1
90,target_residential_m2,built area of residential land use,target,0.00 to 26529.00,8774,64.15149521,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
91,target_commercial_m2,built area of commercial land use,target,0.00 to 128939.00,2297,16.7946187,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
92,target_office_m2,built area of office land use,target,0.00 to 14675.00,817,5.973532207,0,0,0,,0,0,0,0,0,0,0,1,0,1,0
93,target_education_m2,built area of education land use,target,0.00 to 44702.00,723,5.286246984,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
94,target_health_m2,built area of health land use,target,0.00 to 38540.00,154,1.125977919,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
95,target_hotel_m2,built area of hotel land use,target,0.00 to 11252.00,222,1.623162974,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
96,target_industrial_m2,built area of industrial land use,target,0.00 to 60601.00,490,3.582657015,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
97,target_other_m2,built area of other land use (includes all categories not explicitly mentioned),target,0.00 to 50000.00,2291,16.75074943,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
98,target_parking_m2,built area of parking land use,target,0.00 to 10970.00,308,2.251955838,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
99,target_recreation_m2,built area of recreation land use,target,0.00 to 45495.00,119,0.870073847,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
100,target_religion_m2,built area of religion land use,target,0.00 to 6132.00,522,3.816626453,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
101,target_agricola_m2,built area of agricultural use,target,0.00 to 6797.00,11,0.08,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
102,target_sitio_eriazo_m2,built area of sitio eriazo land use,target,0.00 to 2534.00,29,0.212034803,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
